voltage,current,frequency,power
229.5955,9.95188,50.005936,2292.1816
229.51614,9.963192,50.005016,2294.568
229.53445,9.971938,50.005642,2296.398
229.39653,9.993657,50.008152,2298.8262
229.34029,9.964481,50.009613,2291.9146
229.2738,9.948479,50.007416,2287.5256
229.26503,9.920717,50.00858,2280.3645
229.10797,9.908209,50.01076,2272.5957
229.2023,9.877262,50.00982,2267.564
229.27075,9.869157,50.009007,2265.4521
229.12885,9.911479,50.009365,2272.9143
229.21988,9.888261,50.007973,2269.6545
229.21375,9.952795,50.00686,2284.6995
229.22133,9.958486,50.006012,2286.9102
229.18825,9.981224,50.004013,2288.971
229.19914,9.944699,50.001537,2282.0156
229.28981,9.944744,50.00209,2286.107
229.46764,9.9284725,50.002422,2283.5374
229.4876,9.919016,50.00125,2281.4502
229.49919,9.955246,50.002205,2289.6572
229.50775,9.946595,50.000633,2286.824
229.31241,10.004809,50.00099,2297.4993
229.31155,10.017693,50.003544,2299.884
229.27586,10.027775,50.00161,2302.412
229.4397,10.053103,49.999912,2312.3303
229.52129,10.034407,49.998264,2309.5352
229.37306,10.096936,49.998775,2320.6235
229.41455,10.118431,49.996002,2325.2524
229.41077,10.124168,49.998806,2324.709
229.36917,10.149884,49.998672,2330.8547
229.415,10.18466,49.997997,2339.633
229.51752,10.2001095,49.998413,2342.9248
229.49268,10.173331,50.00184,2333.5156
229.43712,10.167238,50.004906,2328.235
229.51277,10.150099,50.00681,2325.4844
229.4669,10.159873,50.009113,2326.047
229.68526,10.133035,50.009666,2324.5918
229.64526,10.13321,50.01133,2323.1843
229.82237,10.107704,50.011047,2320.3933
229.82802,10.123692,50.01147,2327.2842
229.69641,10.124464,50.012306,2327.3086
229.69774,10.132687,50.011696,2329.5361
229.81046,10.137755,50.0116,2334.218
229.86597,10.125851,50.01084,2330.5588
230.003,10.127019,50.012318,2333.6294
230.13004,10.1067295,50.011993,2331.336
230.12184,10.077207,50.01355,2323.6765
230.1476,10.071601,50.012264,2326.844
230.24634,10.048679,50.012894,2324.2698
230.13582,10.065458,50.013905,2325.4016
230.35887,10.016478,50.010254,2315.693
230.1216,9.9933815,50.010372,2304.3315
230.27301,10.016714,50.006546,2313.2537
230.31683,10.005335,50.00845,2311.1555
230.25948,10.006331,50.008038,2312.4321
230.20386,10.006743,50.00456,2312.3845
230.00546,10.037619,50.00584,2316.1177
230.01035,10.074582,50.005608,2323.5938
230.05089,10.068303,50.0054,2320.8484
230.18874,10.063745,50.004307,2320.5515
230.09023,10.046229,50.002613,2314.719
230.05551,10.035912,50.00131,2312.0864
230.04182,10.045788,50.003437,2315.399
230.1768,10.037084,50.00664,2315.0974
230.24837,10.017239,50.00795,2310.1602
230.0966,10.032661,50.00751,2312.055
230.06273,10.001866,50.006886,2305.5173
230.09532,9.985033,50.006493,2301.4724
230.14368,9.970115,50.003414,2299.2217
230.0616,10.006245,50.004005,2306.672
230.02737,10.034618,50.002926,2312.1921
229.95622,10.049467,50.002945,2316.6377
229.72255,10.015688,50.00085,2306.8208
229.80435,10.0125475,50.00195,2308.798
229.69421,10.048249,50.00308,2316.8315
229.81354,10.06102,50.001534,2319.8289
229.70532,10.068275,49.997814,2320.105
229.62535,10.063499,49.995716,2317.2205
229.65227,10.081786,49.99632,2323.9019
229.5956,10.133847,49.998707,2335.534
229.57812,10.137165,49.996346,2333.056
229.59592,10.115939,49.994164,2326.966
229.61041,10.153289,49.993675,2334.9707
229.65111,10.174469,49.99187,2341.0881
229.74811,10.172359,49.99352,2340.622
229.85823,10.162999,49.995,2339.0989
229.87242,10.155406,49.995403,2335.4338
229.62259,10.1258335,49.992958,2323.6284
229.56253,10.106695,49.991318,2319.1606
229.68828,10.073478,49.991573,2313.1682
229.96416,10.053519,49.99201,2313.6187
229.96437,10.056705,49.99229,2313.3416
229.93616,10.065813,49.995144,2315.64
229.95442,10.079968,49.996307,2318.8264
229.87367,10.066365,49.99614,2314.2917
230.03651,10.061562,49.998978,2316.1848
230.18777,10.0707035,50.000797,2321.488
230.26718,10.054785,50.000683,2318.4802
230.14668,10.058609,50.000435,2318.5508
230.27107,10.025695,49.99862,2314.7593
230.16158,10.016978,50.002434,2311.5178
230.29832,10.020181,50.00296,2314.6155
230.56032,10.004132,50.000324,2313.106
230.4394,9.994168,49.998993,2306.0125
230.36162,10.054947,49.99972,2319.4255
230.33594,10.047135,49.998142,2317.882
230.29016,10.015851,49.99688,2309.6045
230.08267,9.993228,49.99848,2302.8057
230.0867,9.991056,49.99623,2303.271
229.99619,9.988645,49.995956,2300.9666
230.02205,10.022807,49.992805,2309.11
229.9854,10.072156,49.99325,2319.5132
230.12212,10.071885,49.99401,2321.32
230.04263,10.063774,49.992702,2319.7266
229.91539,10.081835,49.994904,2323.6582
230.00018,10.065636,49.99424,2321.0017
229.84637,10.0770035,49.992542,2321.1301
229.87845,10.062187,49.99202,2317.0134
230.11678,10.031105,49.995014,2312.5227
229.83763,10.056077,49.991596,2313.2686
229.75409,10.101722,49.991806,2323.4153
229.74078,10.088198,49.992825,2318.844
229.91032,10.065527,49.994923,2315.6963
229.70514,10.087792,49.997524,2319.0776
229.63667,10.093247,49.99602,2318.951
229.62975,10.101756,49.993965,2321.2068
229.49109,10.136409,49.99357,2328.3557
229.59152,10.129954,49.992477,2327.3994
229.71712,10.08081,49.98825,2318.421
229.74638,10.057623,49.990936,2313.5896
229.8493,10.042999,49.992947,2311.5708
229.93968,10.047008,49.98885,2314.4143
229.82268,10.096879,49.988323,2326.0986
230.09148,10.082683,49.989376,2325.515
230.15799,10.068501,49.993706,2321.9468
230.05698,10.061607,49.99337,2317.4854
230.00458,10.092437,49.99169,2325.257
229.8893,10.163051,49.99256,2340.9585
229.98448,10.143422,49.99387,2334.7673
230.07951,10.127213,49.993576,2332.7285
230.06471,10.144917,49.993443,2336.8784
230.12938,10.15224,49.9924,2339.46
230.00789,10.197164,49.990074,2346.9976
230.19618,10.192586,49.990696,2348.5627
230.38904,10.150787,49.993214,2340.2368
230.3151,10.16979,49.992676,2343.013
230.13736,10.197605,49.990738,2347.9827
230.10002,10.212608,49.99018,2350.4473
230.08975,10.224059,49.988914,2352.3542
230.06508,10.236186,49.990856,2355.6863
230.04985,10.23595,49.990414,2355.56
230.04024,10.271044,49.991074,2363.817
230.16724,10.289845,49.9985,2370.026
230.15681,10.295622,49.99803,2370.3447
230.2335,10.295098,49.99587,2371.8674
230.22917,10.318926,49.998295,2378.9512
230.60016,10.266927,50.002407,2371.5752
230.53561,10.270891,50.000835,2370.866
230.37968,10.263451,49.99692,2366.6575
230.38426,10.2636,49.99857,2367.475
230.36026,10.267478,49.998737,2369.6262
230.42929,10.2406225,50.002686,2362.8862
230.42451,10.242198,50.00197,2362.1423
230.4484,10.221419,50.00264,2359.0286
230.52417,10.212073,50.00599,2359.1484
230.35043,10.2185955,50.006817,2359.1887
230.1447,10.234327,50.00872,2361.2178
